stopId1, stopId2, time
12348192,12350492,67
12348192,12346752,68
12348192,12349283,62
12348192,12339545,122
12348192,12350842,59
12348192,12351426,65
12348192,12348694,43
12348192,12350468,43
12348192,Depot,44
12349057,12351217,16
12349057,12348192,6
12349057,12349516,15
12349057,12343415,30
12349057,12351488,15
12349057,12350135,14
12349057,12345328,55
12349057,12348444,56
12349057,12350840,52
12349057,12350818,62
12349057,12350484,38
12349057,12308520,39
12349057,12349005,42
12349057,12350627,45
12349057,12349651,45
12349057,12351196,44
12349057,12349968,44
12349057,12350265,49
12349057,12351082,53
12349057,12342376,53
12349057,12349989,39
12349057,12351272,41
12349057,12351315,58
12349057,12347928,50
12349057,12351049,51
12349057,12349009,50
12349057,12351024,53
12349057,12350358,41
12349057,12351769,42
12349057,12350501,54
12349057,12348896,36
12349057,12349842,31
12349057,12350103,27
12349057,12349706,41
12349057,12337737,29
12349057,12346603,32
12349057,12350687,34
12349057,12348803,28
12349057,12350757,24
12349057,12345730,41
12349057,12348335,56
12349057,12347871,43
12349057,12350758,43
12349057,12349553,39
12349057,12350656,22
12349057,12338526,27
12349057,12348665,40
12349057,12350684,28
12349057,12347260,43
12349057,12348709,36
12349057,12332932,70
12349057,12345229,60
12349057,12350492,71
12349057,12346752,73
12349057,12349283,58
12349057,12339545,119
12349057,12350842,56
12349057,12351426,62
12349057,12348694,39
12349057,12350468,40
12349057,Depot,40
12349516,12351217,5
12349516,12348192,13
12349516,12349057,15
12349516,12343415,20
12349516,12351488,16
12349516,12350135,11
12349516,12345328,61
12349516,12348444,63
12349516,12350840,59
12349516,12350818,69
12349516,12350484,45
12349516,12308520,46
12349516,12349005,43
12349516,12350627,51
12349516,12349651,52
12349516,12351196,51
12349516,12349968,51
12349516,12350265,56
12349516,12351082,40
12349516,12342376,59
12349516,12349989,45
12349516,12351272,47
12349516,12351315,65
12349516,12347928,65
12349516,12351049,57
12349516,12349009,61
12349516,12351024,60
12349516,12350358,48
12349516,12351769,49
12349516,12350501,40
12349516,12348896,42
12349516,12349842,39
12349516,12350103,29
12349516,12349706,34
12349516,12337737,36
12349516,12346603,39
12349516,12350687,40
12349516,12348803,34
12349516,12350757,31
12349516,12345730,48
12349516,12348335,36
12349516,12347871,50
12349516,12350758,49
12349516,12349553,45
12349516,12350656,29
12349516,12338526,34
12349516,12348665,47
12349516,12350684,34
12349516,12347260,33
12349516,12348709,43
12349516,12332932,70
12349516,12345229,55
12349516,12350492,63
12349516,12346752,63
12349516,12349283,50
12349516,12339545,125
